Municipi;Comarca;Codi;Altitud(m);Superfície(km2);Població;
Abella de la Conca;Pallars Jussà;250019;956;78.27;183;
Abrera;Baix Llobregat;080018 ;105;19.94;12538;
Àger;Noguera;250024;642;160.57;580;
Agramunt;Urgell;250030;337;79.65;5411;
Aguilar de Segarra;Bages;080023 ;480;43.32;282;
Agullana;Alt Empordà;170010;166;27.73;863;
Aiguafreda;Vallès Oriental;080142 ;404;7.9;2512;
Aiguamúrcia;Alt Camp;430017;314;72.95;930;
Aiguaviva;Gironès;170025;169;13.92;765;
Aitona;Segrià;250387;110;66.9;2567;
Alamús. els;Segrià;250045;212;20.53;811;
Alàs i Cerc;Alt Urgell;250058;768;57.67;320;
Albagés. l';Garrigues;250061;372;25.7;361;
Albanyà;Alt Empordà;170031;239;94.39;155;
Albatàrrec;Segrià;250077;147;10.46;2236;
Albesa;Noguera;250083;237;37.61;1561;
Albi. l';Garrigues;250096;526;32.54;744;
Albinyana;Baix Penedès;430022;198;19.37;2468;
Albiol. l';Baix Camp;430038;823;20.34;500;
Albons;Baix Empordà;170046;25;11.13;759;
Alcanar;Montsià;430043;72;47.07;9434;
Alcanó;Segrià;250100;214;21.03;238;
Alcarràs;Segrià;250117;137;114.29;9707;
Alcoletge;Segrià;250122;213;16.7;3435;
Alcover;Alt Camp;430056;243;46;5144;
Aldea. l';Baix Ebre;439044;9;35.21;4147;
Aldover;Baix Ebre;430069;14;20.2;905;
Aleixar. l';Baix Camp;430075;262;26.1;893;
Alella;Maresme;080039 ;90;9.58;9904;
Alfara de Carles;Baix Ebre;430081;334;63.87;376;
Alfarràs;Segrià;250138;281;11.4;2765;
Alfés;Segrià;250143;236;31.94;297;
Alforja;Baix Camp;430094;374;38.24;1783;
Algerri;Noguera;250156;345;54.32;404;
Alguaire;Segrià;250169;304;50.11;3029;
Alins;Pallars Sobirà;250175;1 048;183.19;272;
Alió;Alt Camp;430108;263;7.25;458;
Almacelles;Segrià;250194;247;49.03;6826;
Almatret;Segrià;250208;462;56.83;305;
Almenar;Segrià;250215;329;66.59;3357;
Almoster;Baix Camp;430115;290;5.96;1341;
Alòs de Balaguer;Noguera;250220;297;69.08;132;
Alp;Cerdanya;170062;1 158;44.29;1593;
Alpens;Osona;080044 ;855;13.8;261;
Alpicat;Segrià;250236;264;15.33;6266;
Alt Àneu;Pallars Sobirà;250241;1 076;217.76;414;
Altafulla;Tarragonès;430120;52;6.95;5307;
Amer;Selva;170078;186;40.08;2332;
Ametlla de Mar. l';Baix Ebre;430136;19;66.86;6866;
Ametlla del Vallès. l';Vallès Oriental;080057 ;281;14.24;8646;
Ampolla. l';Baix Ebre;439060;8;35.65;3277;
Amposta;Montsià;430141;8;138.31;21115;
Anglès;Selva;170084;181;16.31;5654;
Anglesola;Urgell;250273;335;23.53;1365;
Arbeca;Garrigues;250292;332;58.34;2126;
Arboç. l';Baix Penedès;430167;166;14.13;5609;
Arbolí;Baix Camp;430154;714;20.78;127;
Arbúcies;Selva;170097;291;86.22;6608;
Arenys de Mar;Maresme;080060 ;10;6.75;15941;
Arenys de Munt;Maresme;080076 ;121;21.29;9121;
Argelaguer;Garrotxa;170101;183;12.54;396;
Argençola;Anoia;080082 ;716;47.09;219;
Argentera. l';Baix Camp;430173;344;10.12;117;
Argentona;Maresme;080095 ;88;25.4;12536;
Armentera. l';Alt Empordà;170118;7;5.6;951;
Arnes;Terra Alta;430189;506;42.97;444;
Arres;Val d'Aran;250313;1 224;11.57;60;
Arsèguel;Alt Urgell;250328;950;10.59;81;
Artés;Bages;080109 ;316;17.87;5762;
Artesa de Lleida;Segrià;250334;202;23.94;1535;
Artesa de Segre;Noguera;250349;318;175.9;3400;
Ascó;Ribera d'Ebre;430192;70;73.63;1644;
Aspa;Segrià;250365;256;10.21;220;
Avellanes i Santa Linya. les;Noguera;250371;567;102.96;433;
Avià;Berguedà;080116 ;677;27.23;2220;
Avinyó;Bages;080121 ;353;63.23;2289;
Avinyonet de Puigventós;Alt Empordà;170123;70;12.3;1641;
Avinyonet del Penedès;Alt Penedès;080137 ;280;29.13;1697;
Badalona;Barcelonès;080155 ;6;21.18;223166;
Badia del Vallès;Vallès Occidental;089045 ;120;0.93;13415;
Bagà;Berguedà;080168 ;785;43.13;2140;
Baix Pallars;Pallars Sobirà;250390;591;129.41;331;
Balaguer;Noguera;250404;233;57.32;17472;
Balenyà;Osona;080174 ;587;17.37;3840;
Balsareny;Bages;080180 ;327;36.91;3192;
Banyeres del Penedès;Baix Penedès;430206;173;12.19;3207;
Banyoles;Pla de l'Estany;170157;172;11.05;20053;
Barbens;Pla d'Urgell;250411;283;7.56;878;
Barberà de la Conca;Conca de Barberà;430213;475;26.6;471;
Barberà del Vallès;Vallès Occidental;082520 ;146;8.31;33334;
Barcelona;Barcelonès;080193 ;9;101.35;1664182;
Baronia de Rialb. la;Noguera;250426;388;145.08;229;
Bàscara;Alt Empordà;170160;66;17.5;1001;
Bassella;Alt Urgell;250447;423;70.25;217;
Batea;Terra Alta;430228;376;128.41;1901;
Bausen;Val d'Aran;250450;931;17.72;60;
Begues;Baix Llobregat;080207 ;399;50.44;7300;
Begur;Baix Empordà;170139;200;20.66;3891;
Belianes;Urgell;250463;373;15.69;520;
Bellaguarda;Garrigues;251706;640;17.14;287;
Bellcaire d'Empordà;Baix Empordà;170182;35;12.64;678;
Bellcaire d'Urgell;Noguera;250479;267;31.38;1199;
Bell-lloc d'Urgell;Pla d'Urgell;250485;196;34.92;2335;
Bellmunt d'Urgell;Noguera;250498;379;5.11;185;
Bellmunt del Priorat;Priorat;430234;261;8.86;273;
Bellprat;Anoia;080214 ;653;30.97;64;
Bellpuig;Urgell;250501;308;34.98;5218;
Bellvei;Baix Penedès;430249;108;8.27;2237;
Bellver de Cerdanya;Cerdanya;250518;1 061;98.15;2005;
Bellvís;Pla d'Urgell;250523;207;46.7;2260;
Benavent de Segrià;Segrià;250539;234;7.43;1518;
Benifallet;Baix Ebre;430252;19;62.42;723;
Benissanet;Ribera d'Ebre;430265;26;23.06;1140;
Berga;Berguedà;080229 ;704;22.57;16760;
Besalú;Garrotxa;170195;151;4.93;2487;
Bescanó;Gironès;170209;102;35.92;4991;
Beuda;Garrotxa;170216;338;35.91;186;
Bigues i Riells del Fai;Vallès Oriental;080235 ;307;28.64;9358;
Biosca;Segarra;250557;455;66.21;177;
Bisbal d'Empordà. la;Baix Empordà;170221;39;20.62;11159;
Bisbal de Falset. la;Priorat;430271;372;14.14;211;
Bisbal del Penedès. la;Baix Penedès;430287;189;32.54;3631;
Biure;Alt Empordà;172348;81;10.02;241;
Blancafort;Conca de Barberà;430290;428;14.48;382;
Blanes;Selva;170237;13;17.66;39914;
Boadella i les Escaules;Alt Empordà;170293;82;10.78;272;
Bolvir;Cerdanya;170242;1 145;10.34;375;
Bonastre;Baix Penedès;430304;177;24.97;685;
Bòrdes. Es;Val d'Aran;250576;852;21.44;255;
Bordils;Gironès;170255;42;7.32;1761;
Borges Blanques. les;Garrigues;250582;304;61.55;6173;
Borges del Camp. les;Baix Camp;430311;238;8.24;2056;
Borrassà;Alt Empordà;170268;73;9.45;733;
Borredà;Berguedà;080240 ;854;43.45;464;
Bossòst;Val d'Aran;250595;710;28.17;1115;
Bot;Terra Alta;430326;286;34.94;554;
Botarell;Baix Camp;430332;196;11.95;1077;
Bovera;Garrigues;250560;297;31.12;248;
Bràfim;Alt Camp;430347;236;6.42;695;
Breda;Selva;170274;169;5.02;3762;
Bruc. el;Anoia;080253 ;489;47.2;2110;
Brull. el;Osona;080266 ;843;41.03;258;
Brunyola i Sant Martí Sapresa;Selva;170280;247;36.82;389;
Cabacés;Priorat;430350;358;31.27;302;
Cabanabona;Noguera;250609;421;14.16;71;
Cabanelles;Alt Empordà;170314;194;55.58;267;
Cabanes;Alt Empordà;170307;26;15.02;968;
Cabanyes. les;Alt Penedès;080272 ;252;1.15;979;
Cabó;Alt Urgell;250616;768;80.33;93;
Cabra del Camp;Alt Camp;430363;493;26.95;1175;
Cabrera d'Anoia;Anoia;080288 ;299;17;1482;
Cabrera de Mar;Maresme;080291 ;104;8.98;4747;
Cabrils;Maresme;080305 ;147;7.05;7432;
Cadaqués;Alt Empordà;170329;23;26.43;2695;
Calaf;Anoia;080312 ;680;9.22;3656;
Calafell;Baix Penedès;430379;67;20.38;27601;
Calders;Moianès;080348 ;552;33.09;1045;
Caldes d'Estrac;Maresme;080327 ;33;0.88;3021;
Caldes de Malavella;Selva;170335;84;57.33;7872;
Caldes de Montbui;Vallès Oriental;080333 ;203;37.45;17812;
Calella;Maresme;080351 ;5;8;19277;
Calldetenes;Osona;080370 ;489;5.8;2513;
Callús;Bages;080386 ;260;12.5;2129;
Calonge de Segarra;Anoia;080364 ;688;37.15;188;
Calonge i Sant Antoni;Baix Empordà;170340;22;33.57;11331;
Camarasa;Noguera;250621;321;157.13;810;
Camarles;Baix Ebre;439039;13;25.16;3194;
Cambrils;Baix Camp;430385;24;35.21;34734;
Camós;Pla de l'Estany;170353;168;15.66;677;
Campdevànol;Ripollès;170366;738;32.62;3232;
Campelles;Ripollès;170372;1 303;18.64;140;
Campins;Vallès Oriental;080399 ;321;7.29;541;
Campllong;Gironès;170388;113;8.59;537;
Camprodon;Ripollès;170391;947;103.38;2298;
Canejan;Val d'Aran;250637;906;48.32;89;
Canet d'Adri;Gironès;170405;217;44.41;729;
Canet de Mar;Maresme;080403 ;15;5.56;14865;
Canonja. la;Tarragonès;439076;50;7.32;5956;
Canovelles;Vallès Oriental;080410 ;175;6.66;16829;
Cànoves i Samalús;Vallès Oriental;080425 ;346;29.19;3156;
Cantallops;Alt Empordà;170412;200;19.62;309;
