Comarca;Capital de comarca;Província;Nombre de municipis;Població;
Alt Camp;Valls;Tarragona;23;44.695;
Alt Empordà;Figueres;Girona;68;142.624;
Alt Penedès;Vilafranca del Penedès;Barcelona;27;109.606;
Alt Urgell;Seu d'Urgell, la;Lleida;19;20.231;
Alta Ribagorça;Pont de Suert, el;Lleida;3;3.825;
Anoia;Igualada;Barcelona;33;123.024;
Aran;Vielha e Mijaran;Lleida;9;10.175;
Bages;Manresa;Barcelona;30;180.575;
Baix Camp;Reus;Tarragona;28;194.127;
Baix Ebre;Tortosa;Tarragona;14;78.011;
Baix Empordà;Bisbal d'Empordà, la;Girona;36;135.805;
Baix Llobregat;St. Feliu de Llobregat;Barcelona;30;834.653;
Baix Penedès;Vendrell, el;Tarragona;14;107.803;
Barcelonès;Barcelona;Barcelona;5;2.314.620;
Berguedà;Berga;Barcelona/Lleida (1);31;39.980;
Cerdanya;Puigcerdà;Girona/Lleida (2);17;18.525;
Conca de Barberà;Montblanc;Tarragona;22;19.947;
Garraf;Vilanova i la Geltrú;Barcelona;6;152.801;
Garrigues;Borges Blanques, les;Lleida;24;18.873;
Garrotxa;Olot;Girona;21;58.620;
Gironès;Girona;Girona;27;197.104;
Maresme;Mataró;Barcelona;30;458.626;
Moianès;Moià;Barcelona;10;13.919;
Montsià;Amposta;Tarragona;12;68.263;
Noguera;Balaguer;Lleida;30;39.132;
Osona;Vic;Barcelona/Girona (3);50;163.702;
Pallars Jussà;Tremp;Lleida;14;13.227;
Pallars Sobirà;Sort;Lleida;15;6.930;
Pla d'Urgell;Mollerussa;Lleida;16;36.737;
Pla de l'Estany;Banyoles;Girona;11;32.637;
Priorat;Falset;Taragona;23;9.160;
Ribera d'Ebre;Móra d'Ebre;Tarragona;14;21.870;
Ripollès;Ripoll;Girona;19;25.253;
Segarra;Cervera;Lleida;21;23.318;
Segrià;Lleida;Lleida;38;211.840;
Selva;Sta. Coloma de Farners;Girona/Barcelona (4);26;174.638;
Solsonès;Solsona;Lleida;15;13.513;
Tarragonès;Tarragona;Tarragona;22;261.466;
Terra Alta;Gandesa;Tarragona;12;11.430;
Urgell;Tàrrega;Lleida;20;37.116;
Vallès Occidental;Sabadell i Terrassa;Barcelona;23;937.508;
Vallès Oriental;Granollers;Barcelona;39;414.570;
Catalunya;;;947;7.780.479;
;;;;;
Institut d'Estadística de Catalunya;;;;;
https://www.idescat.cat/pub/?id=aec&n=924&t=2020;;;;;
