Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,250019,Abella de la Conca,10,64,22,9,53,21,19,117,43
2019,080018,Abrera,1.205,4.243,878,1.105,4.054,1.004,2.310,8.297,1.882
2019,250024,Àger,25,208,87,24,155,89,49,363,176
2019,250030,Agramunt,412,1.806,471,426,1.660,596,838,3.466,1.067
2019,080023,Aguilar de Segarra,27,98,30,27,82,24,54,180,54
2019,170010,Agullana,57,266,88,70,257,93,127,523,181
2019,080142,Aiguafreda,165,812,231,178,790,328,343,1.602,559
2019,430017,Aiguamúrcia,59,303,103,71,271,94,130,574,197
2019,170025,Aiguaviva,73,250,60,75,240,58,148,490,118
2019,250387,Aitona,211,890,257,179,723,331,390,1.613,588
2019,250045,"Alamús, els",56,270,86,60,262,85,116,532,171
2019,250058,Alàs i Cerc,20,104,47,19,85,54,39,189,101
2019,250061,"Albagés, l'",17,124,53,15,104,56,32,228,109
2019,170031,Albanyà,15,52,13,19,47,11,34,99,24
2019,250077,Albatàrrec,190,846,114,182,737,152,372,1.583,266
2019,250083,Albesa,117,573,165,94,416,191,211,989,356
2019,250096,"Albi, l'",62,221,106,46,207,122,108,428,228
2019,430022,Albinyana,186,826,231,167,773,255,353,1.599,486
2019,430038,"Albiol, l'",50,166,37,40,159,33,90,325,70
2019,170046,Albons,55,275,71,57,247,71,112,522,142
2019,430043,Alcanar,677,3.139,932,639,2.970,1.061,1.316,6.109,1.993
2019,250100,Alcanó,19,69,31,12,69,35,31,138,66
2019,250117,Alcarràs,930,3.511,516,833,3.085,639,1.763,6.596,1.155
2019,250122,Alcoletge,292,1.269,214,311,1.106,228,603,2.375,442
2019,430056,Alcover,412,1.683,404,442,1.622,501,854,3.305,905
2019,439044,"Aldea, l'",336,1.428,433,276,1.216,471,612,2.644,904
2019,430069,Aldover,58,270,117,41,252,144,99,522,261
2019,430075,"Aleixar, l'",63,315,72,66,272,85,129,587,157
2019,080039,Alella,814,3.015,933,745,3.214,1.080,1.559,6.229,2.013
2019,430081,Alfara de Carles,15,130,54,18,101,59,33,231,113
2019,250138,Alfarràs,176,974,309,183,796,359,359,1.770,668
2019,250143,Alfés,23,99,40,17,90,43,40,189,83
2019,430094,Alforja,122,640,159,126,562,192,248,1.202,351
2019,250156,Algerri,19,122,65,11,90,79,30,212,144
2019,250169,Alguaire,197,1.077,288,222,849,338,419,1.926,626
2019,250175,Alins,17,80,47,13,81,38,30,161,85
2019,430108,Alió,27,124,57,42,148,41,69,272,98
2019,250194,Almacelles,500,2.490,594,464,2.004,739,964,4.494,1.333
2019,250208,Almatret,5,113,54,2,72,61,7,185,115
2019,250215,Almenar,238,1.197,356,205,975,427,443,2.172,783
2019,430115,Almoster,91,494,95,89,482,100,180,976,195
2019,250220,Alòs de Balaguer,6,42,26,5,28,23,11,70,49
2019,170062,Alp,99,617,112,91,543,118,190,1.160,230
2019,080044,Alpens,21,105,18,17,81,24,38,186,42
2019,250236,Alpicat,590,2.147,397,593,2.060,468,1.183,4.207,865
2019,250241,Alt Àneu,22,158,51,12,121,41,34,279,92
2019,430120,Altafulla,453,1.667,435,472,1.726,490,925,3.393,925
2019,170078,Amer,152,728,242,166,697,313,318,1.425,555
2019,430136,"Ametlla de Mar, l'",488,2.109,787,458,2.061,884,946,4.170,1.671
2019,080057,"Ametlla del Vallès, l'",736,2.949,592,653,2.882,650,1.389,5.831,1.242
2019,439060,"Ampolla, l'",181,1.026,424,194,938,442,375,1.964,866
2019,430141,Amposta,1.802,6.866,1.781,1.584,6.585,2.120,3.386,13.451,3.901
2019,170084,Anglès,486,1.836,458,469,1.759,591,955,3.595,1.049
2019,250273,Anglesola,99,439,144,123,377,181,222,816,325
2019,250292,Arbeca,121,711,268,127,611,306,248,1.322,574
2019,430167,"Arboç, l'",533,1.910,409,493,1.687,485,1.026,3.597,894
2019,430154,Arbolí,7,58,14,4,37,17,11,95,31
2019,170097,Arbúcies,569,2.291,530,562,1.956,648,1.131,4.247,1.178
2019,080060,Arenys de Mar,1.196,5.104,1.383,1.066,5.010,2.017,2.262,10.114,3.400
2019,080076,Arenys de Munt,771,3.007,705,681,2.913,854,1.452,5.920,1.559
2019,170101,Argelaguer,18,144,43,20,127,45,38,271,88
2019,080082,Argençola,11,81,18,16,68,23,27,149,41
2019,430173,"Argentera, l'",0,51,19,4,30,20,4,81,39
2019,080095,Argentona,1.059,4.104,969,998,4.089,1.233,2.057,8.193,2.202
2019,170118,"Armentera, l'",74,299,88,85,282,102,159,581,190
2019,430189,Arnes,23,115,86,21,121,89,44,236,175
2019,250313,Arres,2,33,7,3,18,2,5,51,9
2019,250328,Arsèguel,10,28,10,5,26,5,15,54,15
2019,080109,Artés,464,1.946,458,446,1.803,581,910,3.749,1.039
2019,250334,Artesa de Lleida,104,549,136,93,454,168,197,1.003,304
2019,250349,Artesa de Segre,256,1.156,354,237,1.029,400,493,2.185,754
2019,430192,Ascó,105,562,189,91,506,207,196,1.068,396
2019,250365,Aspa,13,66,34,11,61,39,24,127,73
2019,250371,"Avellanes i Santa Linya, les",26,149,84,26,98,66,52,247,150
2019,080116,Avià,191,716,214,160,707,238,351,1.423,452
2019,080121,Avinyó,173,751,203,158,687,303,331,1.438,506
2019,170123,Avinyonet de Puigventós,147,560,89,156,564,94,303,1.124,183
2019,080137,Avinyonet del Penedès,115,631,157,119,499,180,234,1.130,337
2019,080155,Badalona,17.695,72.883,17.931,16.547,71.832,23.552,34.242,144.715,41.483
2019,089045,Badia del Vallès,1.060,4.363,1.144,999,4.198,1.616,2.059,8.561,2.760
2019,080168,Bagà,128,676,260,109,651,314,237,1.327,574
2019,250390,Baix Pallars,21,121,40,20,94,39,41,215,79
2019,250404,Balaguer,1.534,5.955,1.257,1.421,5.254,1.741,2.955,11.209,2.998
2019,080174,Balenyà,318,1.337,273,297,1.232,364,615,2.569,637
2019,080180,Balsareny,182,1.088,292,200,961,436,382,2.049,728
2019,430206,Banyeres del Penedès,278,1.077,257,277,1.008,273,555,2.085,530
2019,170157,Banyoles,1.844,6.609,1.420,1.705,6.306,1.942,3.549,12.915,3.362
2019,250411,Barbens,52,312,103,52,243,116,104,555,219
2019,430213,Barberà de la Conca,37,165,55,37,115,64,74,280,119
2019,082520,Barberà del Vallès,2.846,11.013,2.441,2.768,10.925,3.098,5.614,21.938,5.539
2019,080193,Barcelona,105.153,530.511,139.955,99.601,551.432,210.110,204.754,1.081.943,350.065
2019,250426,"Baronia de Rialb, la",6,73,42,10,67,39,16,140,81
2019,170160,Bàscara,88,342,90,70,285,129,158,627,219
2019,250447,Bassella,11,68,33,10,72,30,21,140,63
2019,430228,Batea,132,547,265,121,520,305,253,1.067,570
2019,250450,Bausen,0,17,13,2,15,11,2,32,24
